"Рівень
вимог";"Значення автомобільної дороги
загального користування";"Інтенсивність руху в
транспортних одиницях,
авт./добу"
1;"Міжнародні (з індексом М-) та
національні (з індексом Н-)";понад 7 000
2;"Міжнародні (з індексом М-) та
національні (з індексом Н-)";до 7 000
;"Регіональні (з індексом Р-) та
територіальні (з індексом Т-)";понад 3 000
3;"Регіональні (з індексом Р-) та
територіальні (з індексом Т-)";до 3 000
;Обласні (з індексом О) ;понад 1 000
4;"Всі інші автомобільні дороги
загального користування, що не
увійшли до переліку вище";
